user_tweet_id,user_id,user_query,intent,intent_confidence,ideal_response
637480,262384,"L’ultimo aggiornamento per #iPhone è una schifezza. Leeeeennnnntooooooooooo.....e un sacco di altri problemi. 
#Apple @115858",ios_update_issue,0.2696499526500702,@262384 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj
2069142,611886,"I've been trying to reset my apple password for a month.@115858, you should be ashamed of your horrible customer service.  You've had 4",general_inquiry,0.30473965406417847,@611886 We're happy to look into this issue with you. Meet us in DM and we'll see how best to proceed with your password reset. https://t.co/GDrqU22YpT
1863180,169237,So this Mac High Sierra update just crashed my laptop @AppleSupport! And recovery isn’t working!,app_crash,0.298566997051239,@169237 We'd like to hear more about what's going on. Please DM us about the issue you're experiencing and we'll go from there. https://t.co/GDrqU22YpT
2113942,450705,@AppleSupport 10.13.1 and I have a MacBook Pro with Touch Bar.,general_inquiry,0.2588516175746918,"@450705 Thanks for letting us know, can you confirm via DM when you first started to notice this? https://t.co/GDrqU22YpT"
2730373,765479,My phone is lagging so bad after the update and iPhone 8 came out. @115858 do something about this,ios_update_issue,0.5627204775810242,"@765479 Hi. We definitely know how important your iPhone performance is and will be glad to help. To get started, what is your iOS version? Go to Settings &gt; General &gt; About for that. Also, do you recall which version iOS you had prior to updating?"
1745475,285828,@AppleSupport how can i restore my country/region of mu App Store? It's say like this https://t.co/0yNbEsMe0q,general_inquiry,0.18376800417900085,@285828 Let's get to the bottom of this. Did you change your country/region in your settings before getting this message?
2043305,604241,I was calling somebody but they weren’t picking up so I hung up and the phone continued ringing... @115858 care to explain this spooky shit,battery_drain,0.18887107074260712,@604241 We'd be happy to look into this with you more in detail.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT
462054,224808,"@AppleSupport Yes, it resolved. But please bring swipe up to close apps back (without the step of pressing down again to get red dots with minus signs to close them).",app_crash,0.441687673330307,@224808 We're glad to hear it's working as expected. We value and welcome your feedback and recommendations through the following link: https://t.co/eTPVYVFyd8 DM us with any additional questions. https://t.co/GDrqU22YpT
2304366,668612,"@AppleSupport This is all. When i click the adress nothing happens, either show more info. This is not the first time although. https://t.co/jRbRdsTsGt",ios_update_issue,0.20393426716327667,@668612 Check out this link to see how to identify and report suspicious emails: https://t.co/LNMCdqt6fD
1332412,430831,@AppleSupport Yes &amp; I have tried turning it on with both contacts only &amp; everyone.,general_inquiry,0.1746208369731903,"@430831 We notice that your initial tweet said Airdrop ""still"" doesn't work. Was this an issue before iOS 11?"
